<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
a1 a1 a1
a2 a2 a2
ah4 ah4 ah4
ah8 ah8 ah8
ai1 ai1 ai1
ai3 ai3 ai3
ainn7 ainn7 ainn7
ak4 ak4 ak4
am1 am1 am1
am3 am3 am3
an1 an1 an1
an3 an3 an3
an5 an5 an5
an7 an7 an7
ang1 ang1 ang1
ang3 ang3 ang3
ang5 ang5 ang5
ap4 ap4 ap4
ap8 ap8 ap8
au1 au1 au1
au2 au2 au2
au3 au3 au3
au5 au5 au5
bai2 bai2 b ai2
ban2 ban2 b an2
ban7 ban7 b an7
bang7 bang7 b ang7
bat4 bat4 b at4
bauh8 bauh8 b auh8
be2 be2 b e2
be5 be5 b e5
be7 be7 b e7
beh8 beh8 b eh8
bi2 bi2 b i2
bi7 bi7 b i7
bian2 bian2 b ian2
biau5 biau5 b iau5
bih4 bih4 b ih4
bik8 bik8 b ik8
bin2 bin2 b in2
bin5 bin5 b in5
bin7 bin7 b in7
bing5 bing5 b ing5
bing7 bing7 b ing7
bio2 bio2 b io2
bio7 bio7 b io7
bit8 bit8 b it8
biu7 biu7 b iu7
bok8 bok8 b ok8
bong1 bong1 b ong1
bong2 bong2 b ong2
bong5 bong5 b ong5
bong7 bong7 b ong7
boo2 boo2 b oo2
boo5 boo5 b oo5
boo7 boo7 b oo7
bu2 bu2 b u2
bu5 bu5 b u5
bu7 bu7 b u7
bua5 bua5 b ua5
buat8 buat8 b uat8
bue7 bue7 b ue7
bueh4 bueh4 b ueh4
bueh8 bueh8 b ueh8
bui1 bui1 b ui1
bun2 bun2 b un2
bun5 bun5 b un5
bun7 bun7 b un7
but4 but4 b ut4
but8 but8 b ut8
e1 e1 e1
e5 e5 e5
e7 e7 e7
eh4 eh4 eh4
eh8 eh8 eh8
gak8 gak8 g ak8
gam5 gam5 g am5
gam7 gam7 g am7
gan2 gan2 g an2
gang7 gang7 g ang7
ge7 ge7 g e7
geh8 geh8 g eh8
gi2 gi2 g i2
gi7 gi7 g i7
giah8 giah8 g iah8
giam5 giam5 g iam5
giam7 giam7 g iam7
gian2 gian2 g ian2
gian5 gian5 g ian5
giap4 giap4 g iap4
giap8 giap8 g iap8
giat8 giat8 g iat8
giau5 giau5 g iau5
gim3 gim3 g im3
gin2 gin2 g in2
gin5 gin5 g in5
gioh8 gioh8 g ioh8
giok8 giok8 g iok8
giong2 giong2 g iong2
gip8 gip8 g ip8
giu2 giu2 g iu2
go5 go5 g o5
go7 go7 g o7
gok8 gok8 g ok8
gong7 gong7 g ong7
gu5 gu5 g u5
gu7 gu7 g u7
guan2 guan2 g uan2
guan5 guan5 g uan5
guan7 guan7 g uan7
gue7 gue7 g ue7
gui5 gui5 g ui5
gui7 gui7 g ui7
ha5 ha5 h a5
ha7 ha7 h a7
hah4 hah4 h ah4
hah8 hah8 h ah8
hai2 hai2 h ai2
hai7 hai7 h ai7
haih4 haih4 h aih4
hainn3 hainn3 h ainn3
ham5 ham5 h am5
ham7 ham7 h am7
han1 han1 h an1
han2 han2 h an2
han3 han3 h an3
han5 han5 h an5
hang1 hang1 h ang1
hang5 hang5 h ang5
hang7 hang7 h ang7
hann7 hann7 h ann7
hannh4 hannh4 h annh4
hau2 hau2 h au2
hau3 hau3 h au3
hau5 hau5 h au5
hau7 hau7 h au7
haunn3 haunn3 h aunn3
haunnh8 haunnh8 h aunnh8
he2 he2 h e2
he3 he3 h e3
he5 he5 h e5
he7 he7 h e7
heh4 heh4 h eh4
hennh4 hennh4 h ennh4
hi1 hi1 h i1
hi2 hi2 h i2
hi3 hi3 h i3
hi5 hi5 h i5
hia1 hia1 h ia1
hiam2 hiam2 h iam2
hiam5 hiam5 h iam5
hian1 hian1 h ian1
hian2 hian2 h ian2
hian3 hian3 h ian3
hian5 hian5 h ian5
hian7 hian7 h ian7
hiang2 hiang2 h iang2
hiann1 hiann1 h iann1
hiannh4 hiannh4 h iannh4
hiap8 hiap8 h iap8
hiau1 hiau1 h iau1
hiau2 hiau2 h iau2
hiau5 hiau5 h iau5
hik8 hik8 h ik8
him1 him1 h im1
him5 him5 h im5
hin5 hin5 h in5
hing3 hing3 h ing3
hing5 hing5 h ing5
hing7 hing7 h ing7
