he1 1.0	h e1
ho7 1.0	h o7
hennh4 1.0	h ennh4
ngoo2 1.0	ng oo2
kong2 1.0	k ong2
khau3 1.0	kh au3
li2 1.0	l i2
kau3 1.0	k au3
te2 1.0	t e2
si7 1.0	s i7
pai3 1.0	p ai3
kui2 1.0	k ui2
bueh4 1.0	b ueh4
lai5 1.0	l ai5
kan3 1.0	k an3
tih4 1.0	t ih4
sannh4 1.0	s annh4
siau5 1.0	s iau5
bu5 1.0	b u5
pa5 1.0	p a5
lah4 1.0	l ah4
thiann1 1.0	th iann1
iau1  1.0	iau1
lin2 1.0	l in2
hiong5 1.0	h iong5
tshut4 1.0	tsh ut4
sing1 1.0	s ing1
tshong3 1.0	tsh ong3
tsoh8 1.0	ts oh8
mi5 1.0	m i5
guan2 1.0	g uan2
kiann2 1.0	k iann2
sai3 1.0	s ai3
tsu2 1.0	ts u2
kah4 1.0	k ah4
phai2 1.0	ph ai2
sit8 1.0	s it8
i7  1.0	i7
an3  1.0	an3
ni1 1.0	n i1
it4  1.0	it4
ha7 1.0	h a7
iu2  1.0	iu2
ing2  1.0	ing2
khui3 1.0	kh ui3
m7  1.0	m7
ing1  1.0	ing1
haunn3 1.0	h aunn3
som1 1.0	s om1
ke1 1.0	k e1
pi2 1.0	p i2
lo7 1.0	l o7
li3 1.0	l i3
toh8 1.0	t oh8
mai3 1.0	m ai3
kang7 1.0	k ang7
bian2 1.0	b ian2
kiong7 1.0	k iong7
long2 1.0	l ong2
lin7 1.0	l in7
tsin1 1.0	ts in1
thok8 1.0	th ok8
tsheh4 1.0	tsh eh4
koh4 1.0	k oh4
kap4 1.0	k ap4
looh4 1.0	l ooh4
so1 1.0	s o1
tsiam7 1.0	ts iam7
si5 1.0	s i5
ue7  1.0	ue7
hang5 1.0	h ang5
poo7 1.0	p oo7
loo7 1.0	l oo7
huah4 1.0	h uah4
kha1 1.0	kh a1
sng1 1.0	s ng1
but8 1.0	b ut8
kiann7 1.0	k iann7
bue7 1.0	b ue7
liau2 1.0	l iau2
nua2 1.0	n ua2
kiam2 1.0	k iam2
thueh8 1.0	th ueh8
ping1 1.0	p ing1
khuann3 1.0	kh uann3
tian7 1.0	t ian7
a1  1.0	a1
a2  1.0	a2
phah4 1.0	ph ah4
ke3 1.0	k e3
tshing2 1.0	tsh ing2
liong2 1.0	l iong2
painn3 1.0	p ainn3
ping2 1.0	p ing2
hue2 1.0	h ue2
ah4  1.0	ah4
tse1 1.0	ts e1
liau5 1.0	l iau5
bin7 1.0	b in7
kin1 1.0	k in1
ing7  1.0	ing7
sam1 1.0	s am1
khang1 1.0	kh ang1
tshau3 1.0	tsh au3
kuann7 1.0	k uann7
ku7 1.0	k u7
lian5 1.0	l ian5
kui1 1.0	k ui1
ka1 1.0	k a1
ti7 1.0	t i7
tai5 1.0	t ai5
pak4 1.0	p ak4
lan2 1.0	l an2
tann1 1.0	t ann1
siong2 1.0	s iong2
tu3 1.0	t u3
huat8 1.0	h uat8
tshinn1 1.0	tsh inn1
khuan2 1.0	kh uan2
pi1 1.0	p i1
kiok8 1.0	k iok8
in1  1.0	in1
ui5  1.0	ui5
hai7 1.0	h ai7
khun3 1.0	kh un3
oh8  1.0	oh8
hau7 1.0	h au7
ping5 1.0	p ing5
hong5 1.0	h ong5
i2  1.0	i2
king1 1.0	k ing1
ai3  1.0	ai3
ma3 1.0	m a3
huat4 1.0	h uat4
tu2 1.0	t u2
tsai5 1.0	ts ai5
te3 1.0	t e3
tong7 1.0	t ong7
lua7 1.0	l ua7
tai7 1.0	t ai7
kin2 1.0	k in2
bih4 1.0	b ih4
toh4 1.0	t oh4
soh4 1.0	s oh4
thai3 1.0	th ai3
tng7 1.0	t ng7
king2 1.0	k ing2
tshat4 1.0	tsh at4
na3 1.0	n a3
hong3 1.0	h ong3
lin5 1.0	l in5
ong1  1.0	ong1
bat4 1.0	b at4
han5 1.0	h an5
kok4 1.0	k ok4
boo2 1.0	b oo2
ti1 1.0	t i1
tsiong2 1.0	ts iong2
kuan3 1.0	k uan3
gue7 1.0	g ue7
khio2 1.0	kh io2
ta1 1.0	t a1
tshit4 1.0	tsh it4
iah4  1.0	iah4
tshu3 1.0	tsh u3
lue7 1.0	l ue7
thau1 1.0	th au1
thang1 1.0	th ang1
kuai1 1.0	k uai1
thau5 1.0	th au5
tik4 1.0	t ik4
tshue7 1.0	tsh ue7
jik4 1.0	j ik4
bi2 1.0	b i2
khui1 1.0	kh ui1
si2 1.0	s i2
huan5 1.0	h uan5
loo2 1.0	l oo2
be2 1.0	b e2
le2 1.0	l e2
sang3 1.0	s ang3
hoo7 1.0	h oo7
lu2 1.0	l u2
kam1 1.0	k am1
ang5  1.0	ang5
kho2 1.0	kh o2
kinn3 1.0	k inn3
tshio3 1.0	tsh io3
tsuan2 1.0	ts uan2
siu7 1.0	s iu7
huenn5 1.0	hu enn5
tit8 1.0	t it8
tsai2 1.0	ts ai2
tshah4 1.0	tsh ah4
tshing1 1.0	tsh ing1
ban7 1.0	b an7
tng1 1.0	t ng1
tsue3 1.0	ts ue3
hiann1 1.0	h iann1
ti6 1.0	t i6
pit4 1.0	p it4
piat8 1.0	p iat8
tsng1 1.0	ts ng1
ka3 1.0	k a3
sui2 1.0	s ui2
tsia1 1.0	ts ia1
nia7 1.0	n ia7
suah4 1.0	s uah4
hiam5 1.0	h iam5
sin1 1.0	s in1
tsui2 1.0	ts ui2
siong1 1.0	s iong1
siau2 1.0	s iau2
huan1 1.0	h uan1
hi2 1.0	h i2
po5 1.0	p o5
ke2 1.0	k e2
tsiunn7 1.0	ts iunn7
pan1 1.0	p an1
tsinn5 1.0	ts inn5
sui5 1.0	s ui5
su5 1.0	s u5
song2 1.0	s ong2
sing5 1.0	s ing5
se3 1.0	s e3
li7 1.0	l i7
tshu1 1.0	tsh u1
to3 1.0	t o3
kuinn1 1.0	k uinn1
sim1 1.0	s im1
ah8  1.0	ah8
pinn3 1.0	p inn3
thai7 1.0	th ai7
tsing3 1.0	ts ing3
lui5 1.0	l ui5
tsim1 1.0	ts im1
tap4 1.0	t ap4
tshinn2 1.0	tsh inn2
ioh8  1.0	ioh8
kio3 1.0	k io3
koo3 1.0	k oo3
tiam3 1.0	t iam3
ooh4  1.0	ooh4
tsng5 1.0	ts ng5
uan1  1.0	uan1
pah4 1.0	p ah4
sip8 1.0	s ip8
liok8 1.0	l iok8
pueh4 1.0	p ueh4
e5  1.0	e5
po3 1.0	p o3
tsua2 1.0	ts ua2
siau1 1.0	s iau1
sit4 1.0	s it4
tsing1 1.0	ts ing1
ing5  1.0	ing5
hing7 1.0	h ing7
hok4 1.0	h ok4
ui7  1.0	ui7
ian5  1.0	ian5
ap8  1.0	ap8
too2 1.0	t oo2
pun2 1.0	p un2
tse3 1.0	ts e3
gin2 1.0	g in2
tshi3 1.0	tsh i3
tsin3 1.0	ts in3
hun7 1.0	h un7
ting2 1.0	t ing2
tshun1 1.0	tsh un1
am3  1.0	am3
tun3 1.0	t un3
piann3 1.0	p iann3
sau3 1.0	s au3
khe3 1.0	kh e3
tin7 1.0	t in7
tsu3 1.0	ts u3
i3  1.0	i3
hue3 1.0	h ue3
bun7 1.0	b un7
tshia1 1.0	tsh ia1
khong1 1.0	kh ong1
kik4 1.0	k ik4
suan2 1.0	s uan2
hang7 1.0	h ang7
tho3 1.0	th o3
ku3 1.0	k u3
gi2 1.0	g i2
biau5 1.0	b iau5
sut8 1.0	s ut8
iong5  1.0	iong5
the3 1.0	th e3
hu5 1.0	h u5
hah8 1.0	h ah8
ui3  1.0	ui3
tsiann5 1.0	ts iann5
hian5 1.0	h ian5
he3 1.0	h e3
su1 1.0	s u1
lo2 1.0	l o2
sai1 1.0	s ai1
kha3 1.0	kh a3
hng1 1.0	h ng1
tsia2 1.0	ts ia2
nia5 1.0	n ia5
khonn2 1.0	kh onn2
ling5 1.0	l ing5
he7 1.0	h e7
lau5 1.0	l au5
ji7 1.0	j i7
