<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
E E r r o r W o r d
a11 a11 a11
a24 a24 a24
a31 a31 a31
a55 a55 a55
ab2 ab2 ab2
ad2 ad2 ad2
ag2 ag2 ag2
ai24 ai24 ai24
ai31 ai31 ai31
am24 am24 am24
am31 am31 am31
am55 am55 am55
an31 an31 an31
ang11 ang11 ang11
ang24 ang24 ang24
ang55 ang55 ang55
au24 au24 au24
au31 au31 au31
au55 au55 au55
ba11 ba11 b a11
ba24 ba24 b a24
ba31 ba31 b a31
ba55 ba55 b a55
bad2 bad2 b ad2
bad5 bad5 b ad5
bag2 bag2 b ag2
bag5 bag5 b ag5
bai11 bai11 b ai11
bai24 bai24 b ai24
bai31 bai31 b ai31
bai55 bai55 b ai55
ban24 ban24 b an24
ban31 ban31 b an31
ban55 ban55 b an55
bang24 bang24 b ang24
bang31 bang31 b ang31
bang55 bang55 b ang55
bau24 bau24 b au24
bau31 bau31 b au31
bau55 bau55 b au55
bed2 bed2 b ed2
ben24 ben24 b en24
ben55 ben55 b en55
beu24 beu24 b eu24
beu31 beu31 b eu31
bi24 bi24 b i24
bi31 bi31 b i31
bi55 bi55 b i55
bia55 bia55 b ia55
biag2 biag2 b iag2
biag5 biag5 b iag5
biang24 biang24 b iang24
biang31 biang31 b iang31
biang55 biang55 b iang55
bid2 bid2 b id2
bid5 bid5 b id5
bied2 bied2 b ied2
bied5 bied5 b ied5
bien24 bien24 b ien24
bien31 bien31 b ien31
bien55 bien55 b ien55
bin24 bin24 b in24
bin31 bin31 b in31
bin55 bin55 b in55
biong24 biong24 b iong24
biong55 biong55 b iong55
bo11 bo11 b o11
bo24 bo24 b o24
bo31 bo31 b o31
bo55 bo55 b o55
bod2 bod2 b od2
bog2 bog2 b og2
bog5 bog5 b og5
boi24 boi24 b oi24
boi31 boi31 b oi31
boi55 boi55 b oi55
bong11 bong11 b ong11
bong24 bong24 b ong24
bong31 bong31 b ong31
bong55 bong55 b ong55
bu11 bu11 b u11
bu24 bu24 b u24
bu31 bu31 b u31
bu55 bu55 b u55
bud2 bud2 b ud2
bud5 bud5 b ud5
bug2 bug2 b ug2
bun24 bun24 b un24
bun31 bun31 b un31
bun55 bun55 b un55
bung31 bung31 b ung31
ca11 ca11 c a11
ca24 ca24 c a24
ca31 ca31 c a31
ca55 ca55 c a55
cab2 cab2 c ab2
cab5 cab5 c ab5
cad2 cad2 c ad2
cad5 cad5 c ad5
cag2 cag2 c ag2
cag5 cag5 c ag5
cai11 cai11 c ai11
cai24 cai24 c ai24
cai31 cai31 c ai31
cai55 cai55 c ai55
cam11 cam11 c am11
cam24 cam24 c am24
cam31 cam31 c am31
cam55 cam55 c am55
can11 can11 c an11
can24 can24 c an24
can31 can31 c an31
can55 can55 c an55
cang11 cang11 c ang11
cang55 cang55 c ang55
cau11 cau11 c au11
cau24 cau24 c au24
cau31 cau31 c au31
cau55 cau55 c au55
ce11 ce11 c e11
ce55 ce55 c e55
ceb2 ceb2 c eb2
ced2 ced2 c ed2
ced5 ced5 c ed5
cen11 cen11 c en11
cen24 cen24 c en24
cen55 cen55 c en55
ceu11 ceu11 c eu11
ceu24 ceu24 c eu24
ceu55 ceu55 c eu55
cii11 cii11 c ii11
cii24 cii24 c ii24
cii31 cii31 c ii31
cii55 cii55 c ii55
ciid5 ciid5 c iid5
ciim11 ciim11 c iim11
ciim24 ciim24 c iim24
ciim31 ciim31 c iim31
ciim55 ciim55 c iim55
ciin11 ciin11 c iin11
ciin24 ciin24 c iin24
ciin31 ciin31 c iin31
ciin55 ciin55 c iin55
co11 co11 c o11
co24 co24 c o24
co31 co31 c o31
co55 co55 c o55
cod2 cod2 c od2
cod5 cod5 c od5
cog2 cog2 c og2
cog5 cog5 c og5
coi11 coi11 c oi11
coi24 coi24 c oi24
coi31 coi31 c oi31
coi55 coi55 c oi55
con11 con11 c on11
con24 con24 c on24
con55 con55 c on55
cong11 cong11 c ong11
cong24 cong24 c ong24
cong31 cong31 c ong31
cong55 cong55 c ong55
cu11 cu11 c u11
cu24 cu24 c u24
cu31 cu31 c u31
cu55 cu55 c u55
cud2 cud2 c ud2
cud5 cud5 c ud5
cug2 cug2 c ug2
cug5 cug5 c ug5
cui11 cui11 c ui11
cui55 cui55 c ui55
cun11 cun11 c un11
cun24 cun24 c un24
cun55 cun55 c un55
cung11 cung11 c ung11
cung24 cung24 c ung24
cung55 cung55 c ung55
da31 da31 d a31
da55 da55 d a55
dab2 dab2 d ab2
dab5 dab5 d ab5
dad5 dad5 d ad5
dag2 dag2 d ag2
dag5 dag5 d ag5
dai24 dai24 d ai24
dai31 dai31 d ai31
dai55 dai55 d ai55
dam11 dam11 d am11
dam24 dam24 d am24
dam31 dam31 d am31
dam55 dam55 d am55
dan24 dan24 d an24
dan31 dan31 d an31
dan55 dan55 d an55
dang24 dang24 d ang24
dang31 dang31 d ang31
dau11 dau11 d au11
de11 de11 d e11
de55 de55 d e55
deb5 deb5 d eb5
ded2 ded2 d ed2
dem11 dem11 d em11
dem24 dem24 d em24
dem31 dem31 d em31
dem55 dem55 d em55
den11 den11 d en11
den24 den24 d en24
den31 den31 d en31
den55 den55 d en55
deu24 deu24 d eu24
deu31 deu31 d eu31
deu55 deu55 d eu55
di11 di11 d i11
di24 di24 d i24
di55 di55 d i55
diab2 diab2 d iab2
diab5 diab5 d iab5
diag5 diag5 d iag5
diam24 diam24 d iam24
diam31 diam31 d iam31
diam55 diam55 d iam55
diang11 diang11 d iang11
diau11 diau11 d iau11
diau24 diau24 d iau24
diau31 diau31 d iau31
diau55 diau55 d iau55
did2 did2 d id2
did5 did5 d id5
died2 died2 d ied2
diem31 diem31 d iem31
dien24 dien24 d ien24
dien31 dien31 d ien31
din11 din11 d in11
din24 din24 d in24
din31 din31 d in31
din55 din55 d in55
diu11 diu11 d iu11
diu24 diu24 d iu24
diu55 diu55 d iu55
do11 do11 d o11
do24 do24 d o24
do31 do31 d o31
do55 do55 d o55
dod2 dod2 d od2
dog2 dog2 d og2
dog5 dog5 d og5
doi24 doi24 d oi24
doi31 doi31 d oi31
doi55 doi55 d oi55
don31 don31 d on31
don55 don55 d on55
dong11 dong11 d ong11
dong24 dong24 d ong24
dong31 dong31 d ong31
dong55 dong55 d ong55
du11 du11 d u11
du24 du24 d u24
du31 du31 d u31
du55 du55 d u55
dud2 dud2 d ud2
dug2 dug2 d ug2
dug5 dug5 d ug5
dui24 dui24 d ui24
dui31 dui31 d ui31
dui55 dui55 d ui55
dun24 dun24 d un24
dun31 dun31 d un31
dun55 dun55 d un55
dung11 dung11 d ung11
dung24 dung24 d ung24
dung31 dung31 d ung31
dung55 dung55 d ung55
e11 e11 e11
e24 e24 e24
e31 e31 e31
e55 e55 e55
eb2 eb2 eb2
eb5 eb5 eb5
ed5 ed5 ed5
em24 em24 em24
en24 en24 en24
eu24 eu24 eu24
eu31 eu31 eu31
eu55 eu55 eu55
fa11 fa11 f a11
fa24 fa24 f a24
fa55 fa55 f a55
fab2 fab2 f ab2
fad2 fad2 f ad2
fad5 fad5 f ad5
fag2 fag2 f ag2
fai31 fai31 f ai31
fai55 fai55 f ai55
fam24 fam24 f am24
fam55 fam55 f am55
fan11 fan11 f an11
